skutype,skuname,corecount,ram,cpumaxcores,cputdp,memtdp,gpucount,gputdp
generalpurpose,Standard_DC1s_v2,1,4,8,95,0,0,0
generalpurpose,Standard_DC2s_v2,2,8,8,95,0,0,0
generalpurpose,Standard_DC4s_v2,4,16,8,95,0,0,0
generalpurpose,Standard_DC8_v2,8,32,8,95,0,0,0
generalpurpose,Standard_D1_v2,1,3.5,26,195,0,0,0
generalpurpose,Standard_D2_v2,2,7,26,195,0,0,0
generalpurpose,Standard_D3_v2,4,14,26,195,0,0,0
generalpurpose,Standard_D4_v2,8,28,26,195,0,0,0
generalpurpose,Standard_D5_v2,16,56,26,195,0,0,0
generalpurpose,Standard_DS1_v2,1,3.5,26,195,0,0,0
generalpurpose,Standard_DS2_v2,2,7,26,195,0,0,0
generalpurpose,Standard_DS3_v2,4,14,26,195,0,0,0
generalpurpose,Standard_DS4_v2,8,28,26,195,0,0,0
generalpurpose,Standard_DS5_v2,16,56,26,195,0,0,0
generalpurpose,Standard_D2_v3,2,8,26,195,0,0,0
generalpurpose,Standard_D4_v3,4,16,26,195,0,0,0
generalpurpose,Standard_D8_v3,8,32,26,195,0,0,0
generalpurpose,Standard_D16_v3,16,64,26,195,0,0,0
generalpurpose,Standard_D32_v3,32,128,26,195,0,0,0
generalpurpose,Standard_D48_v3,48,192,26,195,0,0,0
generalpurpose,Standard_D64_v3,64,256,26,195,0,0,0
generalpurpose,Standard_D2s_v3,2,8,26,195,0,0,0
generalpurpose,Standard_D4s_v3,4,16,26,195,0,0,0
generalpurpose,Standard_D8s_v3,8,32,26,195,0,0,0
generalpurpose,Standard_D16s_v3,16,64,26,195,0,0,0
generalpurpose,Standard_D32s_v3,32,128,26,195,0,0,0
generalpurpose,Standard_D48s_v3,48,192,26,195,0,0,0
generalpurpose,Standard_D64s_v3,64,256,26,195,0,0,0
generalpurpose,Standard_D2a_v4,2,8,32,155,0,0,0
generalpurpose,Standard_D4a_v4,4,16,32,155,0,0,0
generalpurpose,Standard_D8a_v4,8,32,32,155,0,0,0
generalpurpose,Standard_D16a_v4,16,64,32,155,0,0,0
generalpurpose,Standard_D32a_v4,32,128,32,155,0,0,0
generalpurpose,Standard_D48a_v4,48,192,32,155,0,0,0
generalpurpose,Standard_D64a_v4,64,256,32,155,0,0,0
generalpurpose,Standard_D96a_v4,96,384,32,155,0,0,0
computeoptimized,Standard_F2s_v2,2,4,26,195,0,0,0
computeoptimized,Standard_F4s_v2,4,8,26,195,0,0,0
computeoptimized,Standard_F8s_v2,8,16,26,195,0,0,0
computeoptimized,Standard_F16s_v2,16,32,26,195,0,0,0
computeoptimized,Standard_F32s_v2,32,64,26,195,0,0,0
computeoptimized,Standard_F64s_v2,64,128,26,195,0,0,0
computeoptimized,Standard_F72s_v2,72,144,26,195,0,0,0
computeoptimized,Standard_FX4mds,4,84,16,205,0,0,0
computeoptimized,Standard_FX12mds,12,252,16,205,0,0,0
computeoptimized,Standard_FX24mds,24,504,16,205,0,0,0
computeoptimized,Standard_FX36mds,36,756,16,205,0,0,0
computeoptimized,Standard_FX48mds,48,1008,16,205,0,0,0
memoryoptimized,Standard_D11_v2,2,14,26,195,0,0,0
memoryoptimized,Standard_D12_v2,4,28,26,195,0,0,0
memoryoptimized,Standard_D13_v2,8,56,26,195,0,0,0
memoryoptimized,Standard_D14_v2,16,112,26,195,0,0,0
memoryoptimized,Standard_D12_v2,20,140,26,195,0,0,0
memoryoptimized,Standard_DS11_v2,2,14,26,195,0,0,0
memoryoptimized,Standard_DS12_v2,4,28,26,195,0,0,0
memoryoptimized,Standard_DS13_v2,8,56,26,195,0,0,0
memoryoptimized,Standard_DS14_v2,16,112,26,195,0,0,0
memoryoptimized,Standard_DS12_v2,20,140,26,195,0,0,0
memoryoptimized,Standard_E2_v3,2,16,26,195,0,0,0
memoryoptimized,Standard_E4_v3,4,32,26,195,0,0,0
memoryoptimized,Standard_E8_v3,8,64,26,195,0,0,0
memoryoptimized,Standard_E16_v3,16,128,26,195,0,0,0
memoryoptimized,Standard_E32_v3,32,256,26,195,0,0,0
memoryoptimized,Standard_E48_v3,48,384,26,195,0,0,0
memoryoptimized,Standard_E64_v3,64,432,26,195,0,0,0
memoryoptimized,Standard_E64i_v3,64,432,26,195,0,0,0
memoryoptimized,Standard_E2a_v4,2,16,32,155,0,0,0
memoryoptimized,Standard_E4a_v4,4,32,32,155,0,0,0
memoryoptimized,Standard_E8a_v4,8,64,32,155,0,0,0
memoryoptimized,Standard_E16a_v4,16,128,32,155,0,0,0
memoryoptimized,Standard_E20a_v4,20,160,32,155,0,0,0
memoryoptimized,Standard_E32a_v4,32,256,32,155,0,0,0
memoryoptimized,Standard_E48a_v4,48,384,32,155,0,0,0
memoryoptimized,Standard_E64a_v4,64,512,32,155,0,0,0
memoryoptimized,Standard_E96a_v4,96,672,32,155,0,0,0
storageoptimized,Standard_L8s_v2,8,64,32,180,0,0,0
storageoptimized,Standard_L16s_v2,16,128,32,180,0,0,0
storageoptimized,Standard_L32s_v2,32,256,32,180,0,0,0
storageoptimized,Standard_L48s_v2,48,384,32,180,0,0,0
storageoptimized,Standard_L64s_v2,64,512,32,180,0,0,0
storageoptimized,Standard_L80s_v2,80,640,32,180,0,0,0
gpuacceleratedcompute,Standard_NC6,6,56,12,135,0,1,300
gpuacceleratedcompute,Standard_NC12,12,112,12,135,0,2,300
gpuacceleratedcompute,Standard_NC24,24,224,12,135,0,4,300
gpuacceleratedcompute,Standard_NC24r,24,224,12,135,0,4,300
gpuacceleratedcompute,Standard_NC6s_v3,6,112,14,135,0,1,250
gpuacceleratedcompute,Standard_NC12s_v3,12,224,14,135,0,2,250
gpuacceleratedcompute,Standard_NC24s_v3,24,448,14,135,0,4,250
gpuacceleratedcompute,Standard_NC24sr_v3,24,448,14,135,0,4,250
gpuacceleratedcompute,Standard_NV4as_v4,4,14,64,240,0,0.125,300
gpuacceleratedcompute,Standard_NV8as_v4,8,28,64,240,0,0.25,300
gpuacceleratedcompute,Standard_NV16as_v4,16,56,64,240,0,0.5,300
gpuacceleratedcompute,Standard_NV32as_v4,32,112,64,240,0,1,300


